dataset,signature_id,signature_name,time_window,paired_n,spearman_rho,bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_se_fisher_z,fisher_z_se_source,median_absolute_rank_displacement_pp,q1_absolute_rank_displacement_pp,q3_absolute_rank_displacement_pp,bootstrap_ci95_lower_median_rank_displacement_pp,bootstrap_ci95_upper_median_rank_displacement_pp,bootstrap_replicates,valid_bootstrap_replicates,seed,primary_independent_eligible
GSE54514,SIG003,FAIM3:PLAC8,T48,28,-0.1029009304871373,-0.490946319278611,0.2989382715169883,0.2096978911376849,bootstrap,35.18518518518519,18.51851851851852,53.703703703703695,20.370370370370367,48.14814814814815,2000,2000,409446339,False
GSE54514,SIG004,sNIP,T24,31,0.1298387096774193,-0.2753787024791078,0.4986369511668819,0.2096618936847332,bootstrap,23.333333333333343,11.666666666666666,46.66666666666667,13.333333333333336,43.33333333333333,2000,2000,1037815604,False
GSE54514,SIG004,sNIP,T48,28,0.0317460317460317,-0.3566341778391799,0.4216739967014843,0.2047282569015412,bootstrap,35.18518518518519,24.999999999999993,44.44444444444444,14.814814814814817,46.29629629629629,2000,2000,565295414,False
GSE54514,SIG022,Bacterial/Viral MetaScore,T24,31,0.472983870967742,0.1165080495592036,0.7039033816377619,0.1948315989334937,bootstrap,20.000000000000007,8.333333333333336,36.666666666666664,10,33.333333333333336,2000,2000,2349240468,True
GSE54514,SIG022,Bacterial/Viral MetaScore,T48,28,0.3672687465790914,-0.0497995180023184,0.6724245329634649,0.221993192682187,bootstrap,20.37037037037037,3.7037037037037095,31.481481481481485,11.111111111111107,33.33333333333333,2000,2000,2823910144,True
GSE54514,SIG023,Herberg two-gene DRS,T24,31,0.4665322580645162,0.0873620856713907,0.7572361312001704,0.2223075512713725,bootstrap,16.666666666666664,10.000000000000002,33.333333333333336,10,29.999999999999996,2000,2000,2982578365,True
GSE54514,SIG023,Herberg two-gene DRS,T48,28,0.234263820470717,-0.1596845195088545,0.5873893152302242,0.2096403478363907,bootstrap,20.37037037037037,6.481481481481481,55.55555555555555,9.259259259259265,40.74074074074074,2000,2000,2957875819,True
GSE54514,SIG033,Lin seven-gene mortality score,T24,31,-0.444758064516129,-0.7009949043590032,-0.1208245645467465,0.1904702823965855,bootstrap,43.333333333333336,25,70,26.666666666666664,56.66666666666667,2000,2000,2204551940,True
GSE54514,SIG033,Lin seven-gene mortality score,T48,28,0.2457580733442802,-0.1151063638814996,0.5462751297788385,0.1843387779244226,bootstrap,27.77777777777778,11.111111111111123,45.37037037037037,12.962962962962967,40.74074074074075,2000,2000,2102346124,True
GSE54514,SIG034,Severe-or-Mild score,T24,31,0.0955645161290322,-0.2305798982705367,0.402216957584521,0.1679216649270787,bootstrap,33.33333333333333,8.33333333333333,56.66666666666667,16.666666666666664,49.99999999999999,2000,2000,431441046,True
GSE54514,SIG034,Severe-or-Mild score,T48,28,-0.1089217296113847,-0.4607624111708764,0.2983874477001437,0.2043547753949371,bootstrap,31.48148148148148,14.814814814814817,62.96296296296296,16.620370370370367,51.85185185185185,2000,2000,3696163540,True
GSE57065,SIG001,Sepsis MetaScore,T24,28,0.7465790914066777,0.4965505882117494,0.8750808413684753,0.2070850866479274,bootstrap,14.81481481481481,7.407407407407405,26.851851851851848,7.407407407407405,25.925925925925924,2000,2000,664623748,True
GSE57065,SIG001,Sepsis MetaScore,T48,26,0.7292307692307692,0.4834509466437177,0.8457897569660083,0.176745355731925,bootstrap,18,12,24,8,28,2000,2000,2842939362,True
GSE57065,SIG002,SeptiCyte LAB,T24,28,0.4586754241926655,0.1200021919168444,0.6895551991361237,0.1847855731988942,bootstrap,22.22222222222222,12.962962962962962,34.25925925925926,12.962962962962962,33.33333333333333,2000,2000,656300321,True
GSE57065,SIG002,SeptiCyte LAB,T48,26,0.3647863247863247,-0.0183211156326767,0.6711457550943142,0.211051429590362,bootstrap,24,12,35.00000000000001,11.999999999999996,36,2000,2000,2500800280,True
GSE57065,SIG003,FAIM3:PLAC8,T24,28,0.50519978106185,0.1664783269140168,0.7559302713833689,0.2088230868228509,bootstrap,18.51851851851852,7.407407407407405,37.03703703703704,7.407407407407408,31.48148148148148,2000,2000,885886591,True
GSE57065,SIG003,FAIM3:PLAC8,T48,26,0.3504273504273504,-0.0275495316561227,0.6403806775292167,0.2005796942364651,bootstrap,22,9,44.00000000000001,12,40,2000,2000,3671575749,True
GSE57065,SIG004,sNIP,T24,28,0.5856595511767926,0.2428857152021857,0.7810901723482638,0.2040507456181431,bootstrap,14.814814814814817,7.407407407407405,34.25925925925926,7.407407407407419,29.629629629629633,2000,2000,1731934974,True
GSE57065,SIG004,sNIP,T48,26,0.4564102564102564,0.0075548154230806,0.7550729944844162,0.2502968803039683,bootstrap,18,8,28,8,31.999999999999993,2000,2000,3989854362,True
GSE57065,SIG022,Bacterial/Viral MetaScore,T24,28,0.7252326217843459,0.4455239444539987,0.910450848656294,0.2685743983753654,bootstrap,11.11111111111112,3.703703703703706,23.14814814814814,3.7037037037037024,25.925925925925924,2000,2000,3794010631,True
GSE57065,SIG022,Bacterial/Viral MetaScore,T48,26,0.6294017094017094,0.3356388003729134,0.84812584832709,0.2266568670006593,bootstrap,10.000000000000004,8,31,4,30,2000,2000,11669560,True
GSE57065,SIG023,Herberg two-gene DRS,T24,28,0.6371100164203612,0.2806747282930166,0.8612534157987377,0.2543341897722718,bootstrap,20.370370370370367,6.481481481481479,29.629629629629623,7.361111111111112,29.629629629629633,2000,2000,4286385105,True
GSE57065,SIG023,Herberg two-gene DRS,T48,26,0.5302564102564101,0.0939211089804387,0.8349381017881705,0.2798873708023188,bootstrap,14,4,36,4,28,2000,2000,1001984838,True
GSE57065,SIG033,Lin seven-gene mortality score,T24,28,0.7224958949096879,0.448391511803114,0.8725543588183857,0.2243494294110268,bootstrap,12.962962962962962,0,29.629629629629623,5.555555555555557,25.925925925925924,2000,2000,2793827278,True
GSE57065,SIG033,Lin seven-gene mortality score,T48,26,0.545982905982906,0.1868291735416609,0.7846632727969104,0.2254390045014765,bootstrap,22,4.999999999999999,32.00000000000001,8,32,2000,2000,1169045152,True
GSE57065,SIG034,Severe-or-Mild score,T24,28,0.7400109469074986,0.4405401778617846,0.8926270453115167,0.2468873600602734,bootstrap,11.111111111111114,3.7037037037037095,26.851851851851848,3.7037037037037095,25.972222222221973,2000,2000,1543184123,True
GSE57065,SIG034,Severe-or-Mild score,T48,26,0.5993162393162393,0.2376373626373626,0.8269268859800206,0.2411484797422974,bootstrap,17.999999999999993,8,32,8,32,2000,2000,2135370531,True
GSE8121,SIG001,Sepsis MetaScore,T48,30,0.7334816462736374,0.4979663090185538,0.8817025179927421,0.2097479034240275,bootstrap,12.06896551724138,6.8965517241379235,25.86206896551723,6.896551724137922,22.413793103448267,2000,2000,875914133,True
GSE8121,SIG002,SeptiCyte LAB,T48,30,0.6240266963292548,0.3407732073436675,0.8029954473057465,0.1881646851886805,bootstrap,17.24137931034483,6.896551724137936,33.62068965517241,6.896551724137936,27.58620689655173,2000,2000,460136946,True
GSE8121,SIG003,FAIM3:PLAC8,T48,30,0.4896551724137932,0.1228213179113762,0.7505611261291724,0.2171060525194793,bootstrap,17.24137931034483,6.896551724137931,33.62068965517241,6.8965517241379395,29.31034482758621,2000,2000,1309525374,True
GSE8121,SIG004,sNIP,T48,30,0.4972191323692992,0.1266743562427138,0.7723822138107763,0.2273683127376964,bootstrap,17.241379310344826,7.758620689655178,30.172413793103445,8.62068965517242,27.58620689655173,2000,2000,2423822539,True
GSE8121,SIG022,Bacterial/Viral MetaScore,T48,30,0.8313681868743048,0.6269590727941372,0.9289573595695836,0.2350424004502504,bootstrap,10.34482758620689,3.448275862068968,16.379310344827587,3.448275862068968,17.241379310344826,2000,2000,353479147,True
GSE8121,SIG023,Herberg two-gene DRS,T48,30,0.8171301446051168,0.5856499141941651,0.9366726518599846,0.2644822047019282,bootstrap,10.344827586206897,6.8965517241379315,17.24137931034483,5.172413793103448,17.241379310344833,2000,2000,250479159,True
GSE8121,SIG033,Lin seven-gene mortality score,T48,30,0.4375973303670745,0.0721598589519633,0.714545766157982,0.2065413335661561,bootstrap,20.689655172413794,7.758620689655174,43.9655172413793,10.344827586206897,34.48275862068966,2000,2000,2341478735,True
GSE8121,SIG034,Severe-or-Mild score,T48,30,0.8295884315906562,0.6529071242034489,0.9183065379474292,0.2003760184208449,bootstrap,10.344827586206904,6.8965517241379315,16.379310344827594,6.896551724137922,17.241379310344833,2000,2000,1507637647,True
GSE95233,SIG001,Sepsis MetaScore,T24,20,0.6902255639097743,0.3251950867260311,0.9044060346520948,0.2908467116533085,bootstrap,13.157894736842104,9.210526315789467,27.631578947368418,5.197368421052629,26.315789473684212,2000,2000,3585039808,True
