signature_id,time_window,internal_time_window,dataset,analysis_role,paired_n,mean_delta_z,bootstrap_se,sampling_variance,ci95_lower,ci95_upper,primary_independent_eligible,primary_exclusion_reason
SIG004,T24,T1,GSE54514,PILOT,31,0.2647687367363289,0.2094285262527482,0.043860307608398034,-0.1441666611188996,0.6791518136366155,False,POSSIBLE_SAME_MARS_PROGRAM
SIG004,T24,T1,GSE57065,PILOT,28,-0.035234788042465,0.1730150111174749,0.029934194071979957,-0.3745474601743669,0.3037549053897789,True,
SIG004,T24,T1,GSE95233,PRESPECIFIED_NON_PILOT,20,-0.2474392159916907,0.2306903834245049,0.05321805300454509,-0.6981781158852061,0.1978963457278704,True,
SIG004,T48,T2,GSE54514,PILOT,28,0.3414568997347185,0.2378922020503764,0.056592699796377106,-0.1005884932733573,0.8062615629550517,False,POSSIBLE_SAME_MARS_PROGRAM
SIG004,T48,T2,GSE57065,PILOT,26,0.471909460571298,0.2135190139186239,0.04559036930478151,0.0258958536215065,0.8633412507384841,True,
SIG004,T48,T2,GSE95233,PRESPECIFIED_NON_PILOT,31,0.6577234055200887,0.2423820520745184,0.05874905916785455,0.174331757111144,1.1112882127130566,True,
SIG022,T24,T1,GSE54514,PILOT,31,0.1658406424649951,0.1669191965291797,0.027862018169946913,-0.1700243879946254,0.497631482153709,True,
SIG022,T24,T1,GSE57065,PILOT,28,-0.0981175966044513,0.1040341675652627,0.010823108020997157,-0.2926106484103207,0.11771857160486,True,
SIG022,T24,T1,GSE95233,PRESPECIFIED_NON_PILOT,20,-0.2844166683801482,0.1296879010739748,0.016818951684973073,-0.5510495600934815,-0.0437635576924444,True,
SIG022,T48,T2,GSE54514,PILOT,28,0.0140993846841852,0.1819635544546278,0.0331107351497623,-0.3276000360706914,0.3669367073587198,True,
SIG022,T48,T2,GSE57065,PILOT,26,0.0634927785039041,0.1333873615174383,0.017792188212583777,-0.1957521110426024,0.3218137668645286,True,
SIG022,T48,T2,GSE95233,PRESPECIFIED_NON_PILOT,31,0.1227105716669462,0.1357268883798253,0.018421788229269556,-0.1425117135412237,0.3782572426795539,True,
SIG023,T24,T1,GSE54514,PILOT,31,-0.4620175596485778,0.1906206122753019,0.036336217824210974,-0.8259092418910766,-0.0918444522111192,True,
SIG023,T24,T1,GSE57065,PILOT,28,0.3130319198435592,0.1117360715290034,0.012484949680734565,0.1156298014043047,0.5306644432287254,True,
SIG023,T24,T1,GSE95233,PRESPECIFIED_NON_PILOT,20,0.3302774250683943,0.1381099262367278,0.019074351725114392,0.0422966311820431,0.5823958042789465,True,
SIG023,T48,T2,GSE54514,PILOT,28,-0.1478033316676605,0.2007034954741893,0.04028189309555793,-0.5280127296192729,0.2708225992916011,True,
SIG023,T48,T2,GSE57065,PILOT,26,0.1794535351383211,0.1397756927230891,0.01953724427621942,-0.0789471375658741,0.4605537177563991,True,
SIG023,T48,T2,GSE95233,PRESPECIFIED_NON_PILOT,31,-0.1067928438049204,0.1369516017060591,0.018755741209855053,-0.37613723880799,0.1650132263591372,True,
SIG033,T24,T1,GSE54514,PILOT,31,-0.526196626869978,0.2428280243661053,0.05896544941754582,-0.9984144747479422,-0.0501603110507659,True,
SIG033,T24,T1,GSE57065,PILOT,28,-0.0716992414967681,0.125006823807427,0.015626705998421097,-0.3124939738955441,0.169778007655052,True,
SIG033,T24,T1,GSE95233,PRESPECIFIED_NON_PILOT,20,-0.2670993762086468,0.2048508350076657,0.041963864603337876,-0.6824971637004238,0.1138256410998549,True,
SIG033,T48,T2,GSE54514,PILOT,28,-0.3836645874501777,0.2232681073158063,0.04984864774438239,-0.8140381864945728,0.059170278167506,True,
SIG033,T48,T2,GSE57065,PILOT,26,-0.1577829228711527,0.1495695401481908,0.022371047340141257,-0.4417610902572285,0.1400811181594531,True,
SIG033,T48,T2,GSE95233,PRESPECIFIED_NON_PILOT,31,-0.2559883110643858,0.1859272328136769,0.03456893590175121,-0.6373858233553649,0.0907602327021302,True,
SIG034,T24,T1,GSE54514,PILOT,31,-0.2207005629437101,0.2168352368613055,0.047017519944698466,-0.6280096835979193,0.2102617458283082,True,
SIG034,T24,T1,GSE57065,PILOT,28,0.1295173739739981,0.1420767990641073,0.020185816832302722,-0.1533567608810946,0.4027284158140383,True,
SIG034,T24,T1,GSE95233,PRESPECIFIED_NON_PILOT,20,0.0096680441952529,0.1587120437187342,0.025189512821377397,-0.3112848157339152,0.3029190671979393,True,
SIG034,T48,T2,GSE54514,PILOT,28,0.0469647608142556,0.2429197333444228,0.059009996848125475,-0.4173369520661285,0.5461688408973796,True,
SIG034,T48,T2,GSE57065,PILOT,26,0.1348986716024051,0.2068785015716599,0.04279871441253529,-0.2851259177580518,0.5347663228177642,True,
SIG034,T48,T2,GSE95233,PRESPECIFIED_NON_PILOT,31,-0.2321399427095033,0.1283100296422822,0.016463463706803336,-0.4647524816939209,0.0326539972880485,True,
